# Version 3.0
# DIE -17.5000 -17.5000 17.5000 17.5000
# TILE 7 7
# LAYER 23 FEOL MEOL M0 VIA0 M1 VIA1 M2 VIA2 M3 VIA3 M4 VIA4 M5 VIA5 M6 VIA6 M7 VIA7 M8 VIA8 M9 VIA9 M10
# SCALE_FACTOR 1.0000
# TileID X1(um) Y1(um) X2(um) Y2(um)  FEOL MEOL M0 VIA0 M1 VIA1 M2 VIA2 M3 VIA3 M4 VIA4 M5 VIA5 M6 VIA6 M7 VIA7 M8 VIA8 M9 VIA9 M10
25 -2.5000 -2.5000 2.5000 2.5000 34.257 34.216 34.187 34.148 34.108 34.069 34.030 33.990 33.951 33.911 33.871 33.832 33.785 33.704 33.624 33.543 33.462 33.380 33.289 33.145 33.002 32.857 32.695
26 -2.5000 2.5000 2.5000 7.5000 34.266 34.230 34.201 34.161 34.121 34.081 34.042 34.002 33.962 33.921 33.881 33.840 33.793 33.712 33.631 33.550 33.468 33.386 33.294 33.150 33.006 32.861 32.699
27 -2.5000 7.5000 2.5000 12.5000 34.284 34.257 34.227 34.186 34.145 34.104 34.063 34.022 33.981 33.940 33.898 33.857 33.809 33.727 33.644 33.562 33.479 33.397 33.304 33.159 33.014 32.869 32.706
28 -2.5000 12.5000 2.5000 17.5000 34.294 34.272 34.241 34.200 34.159 34.118 34.076 34.035 33.993 33.952 33.910 33.869 33.820 33.737 33.654 33.571 33.488 33.405 33.311 33.166 33.020 32.875 32.712
29 2.5000 -17.5000 7.5000 -12.5000 34.326 34.327 34.292 34.246 34.200 34.155 34.110 34.066 34.021 33.977 33.933 33.890 33.839 33.753 33.667 33.582 33.497 33.413 33.318 33.171 33.025 32.880 32.717
30 2.5000 -12.5000 7.5000 -7.5000 34.291 34.269 34.238 34.196 34.155 34.113 34.071 34.029 33.987 33.946 33.904 33.862 33.814 33.731 33.648 33.565 33.482 33.399 33.305 33.160 33.015 32.870 32.707
31 2.5000 -7.5000 7.5000 -2.5000 34.262 34.225 34.196 34.156 34.116 34.077 34.037 33.997 33.957 33.917 33.877 33.837 33.790 33.708 33.627 33.546 33.465 33.383 33.291 33.147 33.003 32.859 32.696
32 2.5000 -2.5000 7.5000 2.5000 34.254 34.213 34.184 34.144 34.105 34.066 34.026 33.987 33.947 33.907 33.867 33.828 33.781 33.700 33.620 33.539 33.458 33.377 33.285 33.142 32.998 32.854 32.692
33 2.5000 2.5000 7.5000 7.5000 34.264 34.228 34.198 34.158 34.119 34.078 34.038 33.998 33.958 33.918 33.877 33.837 33.790 33.709 33.628 33.546 33.465 33.383 33.291 33.147 33.003 32.858 32.696
34 2.5000 7.5000 7.5000 12.5000 34.291 34.271 34.239 34.197 34.155 34.113 34.071 34.029 33.987 33.945 33.903 33.861 33.813 33.730 33.647 33.563 33.480 33.397 33.304 33.159 33.014 32.869 32.706
35 2.5000 12.5000 7.5000 17.5000 34.315 34.307 34.274 34.230 34.186 34.142 34.099 34.056 34.012 33.969 33.926 33.883 33.833 33.748 33.663 33.579 33.494 33.410 33.316 33.169 33.023 32.878 32.715
36 7.5000 -17.5000 12.5000 -12.5000 34.307 34.293 34.262 34.220 34.178 34.137 34.095 34.052 34.010 33.968 33.926 33.884 33.834 33.750 33.666 33.581 33.497 33.413 33.319 33.173 33.026 32.881 32.718
37 7.5000 -12.5000 12.5000 -7.5000 34.281 34.253 34.223 34.184 34.144 34.104 34.064 34.023 33.983 33.942 33.901 33.860 33.812 33.730 33.648 33.565 33.482 33.399 33.306 33.161 33.016 32.871 32.708
38 7.5000 -7.5000 12.5000 -2.5000 34.264 34.229 34.199 34.160 34.120 34.080 34.040 34.000 33.960 33.920 33.879 33.839 33.792 33.710 33.629 33.548 33.466 33.384 33.292 33.148 33.004 32.859 32.697
39 7.5000 -2.5000 12.5000 2.5000 34.255 34.216 34.187 34.147 34.108 34.068 34.029 33.989 33.949 33.909 33.869 33.829 33.782 33.701 33.621 33.540 33.458 33.377 33.285 33.141 32.998 32.853 32.691
40 7.5000 2.5000 12.5000 7.5000 34.261 34.225 34.195 34.155 34.116 34.076 34.036 33.996 33.956 33.916 33.876 33.836 33.789 33.708 33.627 33.546 33.464 33.383 33.290 33.146 33.002 32.858 32.695
41 7.5000 7.5000 12.5000 12.5000 34.291 34.271 34.239 34.197 34.156 34.114 34.073 34.031 33.989 33.948 33.906 33.865 33.816 33.733 33.649 33.566 33.483 33.400 33.306 33.161 33.016 32.870 32.708
42 7.5000 12.5000 12.5000 17.5000 34.326 34.326 34.292 34.247 34.203 34.158 34.114 34.070 34.026 33.983 33.939 33.896 33.845 33.759 33.673 33.587 33.502 33.417 33.322 33.175 33.028 32.882 32.720
43 12.5000 -17.5000 17.5000 -12.5000 34.321 34.318 34.285 34.241 34.197 34.153 34.109 34.066 34.022 33.979 33.936 33.892 33.842 33.757 33.671 33.586 33.501 33.417 33.322 33.175 33.028 32.882 32.719
44 12.5000 -12.5000 17.5000 -7.5000 34.298 34.282 34.251 34.208 34.166 34.124 34.081 34.039 33.997 33.955 33.913 33.870 33.822 33.737 33.654 33.570 33.487 33.403 33.309 33.163 33.018 32.872 32.709
45 12.5000 -7.5000 17.5000 -2.5000 34.279 34.255 34.223 34.181 34.139 34.097 34.056 34.014 33.973 33.931 33.890 33.848 33.800 33.717 33.635 33.552 33.470 33.387 33.294 33.150 33.005 32.860 32.698
46 12.5000 -2.5000 17.5000 2.5000 34.261 34.226 34.195 34.155 34.115 34.074 34.034 33.994 33.953 33.913 33.872 33.832 33.785 33.704 33.623 33.541 33.460 33.378 33.286 33.142 32.998 32.854 32.692
47 12.5000 2.5000 17.5000 7.5000 34.254 34.211 34.183 34.145 34.107 34.068 34.030 33.991 33.951 33.912 33.873 33.833 33.787 33.706 33.626 33.545 33.464 33.382 33.290 33.147 33.003 32.858 32.695
48 12.5000 7.5000 17.5000 12.5000 34.286 34.261 34.231 34.191 34.151 34.111 34.070 34.029 33.988 33.947 33.906 33.865 33.817 33.734 33.651 33.568 33.485 33.402 33.308 33.163 33.017 32.872 32.709
49 12.5000 12.5000 17.5000 17.5000 34.342 34.352 34.316 34.270 34.223 34.177 34.131 34.085 34.040 33.995 33.950 33.906 33.854 33.767 33.680 33.593 33.507 33.422 33.326 33.178 33.031 32.885 32.722
