#META_DATA
#type,name,property,value
#table,,tag,gui_write_user_map
#table,,app_name,fc
#table,,version,"V1.1"
#table,,report_date,"2024-Mar-07 07:13:17"
#table,,title,"powerDensityMap"
#table,,bins,10
#table,,max_threshold,
#table,,min_threshold,0.000000
#table,,color_scale,TemperatureScale
#column,Coordinates,type,poly_rect
#column,Value,type,double
#column,Comment,type,string
#END_META_DATA

Coordinates,Value,Comment
{1.80000 1.08000} {2.16000 1.44000},5269.958550,5270
{2.16000 1.08000} {2.52000 1.44000},5911.234996,5911.2
{2.52000 1.08000} {2.88000 1.44000},4785.262863,4785.3
{2.88000 1.08000} {3.24000 1.44000},6830.969615,6831
{3.24000 1.08000} {3.60000 1.44000},5379.313837,5379.3
{3.60000 1.08000} {3.96000 1.44000},6275.119672,6275.1
{3.96000 1.08000} {4.32000 1.44000},4165.049069,4165
{4.32000 1.08000} {4.68000 1.44000},3595.637830,3595.6
{4.68000 1.08000} {5.04000 1.44000},5422.549793,5422.5
{5.04000 1.08000} {5.40000 1.44000},7223.282551,7223.3
{5.40000 1.08000} {5.76000 1.44000},5948.225563,5948.2
{5.76000 1.08000} {6.12000 1.44000},6904.012727,6904
{6.12000 1.08000} {6.48000 1.44000},6904.012727,6904
{6.48000 1.08000} {6.84000 1.44000},3033.757365,3033.8
{6.84000 1.08000} {7.20000 1.44000},3727.910300,3727.9
{7.20000 1.08000} {7.56000 1.44000},5951.923223,5951.9
{7.56000 1.08000} {7.92000 1.44000},6915.685671,6915.7
{7.92000 1.08000} {8.28000 1.44000},5605.886235,5605.9
{8.28000 1.08000} {8.64000 1.44000},8597.554515,8597.6
{8.64000 1.08000} {9.00000 1.44000},2167.026803,2167
{9.00000 1.08000} {9.36000 1.44000},7047.909247,7047.9
{9.36000 1.08000} {9.72000 1.44000},7315.047877,7315
{9.72000 1.08000} {10.08000 1.44000},4147.601973,4147.6
{10.08000 1.08000} {10.44000 1.44000},1164.012783,1164
{0.00000 1.44000} {0.36000 1.80000},945.838815,945.84
{0.36000 1.44000} {0.72000 1.80000},3816.007142,3816
{0.72000 1.44000} {1.08000 1.80000},3787.265236,3787.3
{1.08000 1.44000} {1.44000 1.80000},5346.291944,5346.3
{1.44000 1.44000} {1.80000 1.80000},4993.527983,4993.5
{1.80000 1.44000} {2.16000 1.80000},4541.592040,4541.6
{2.16000 1.44000} {2.52000 1.80000},6199.540635,6199.5
{2.52000 1.44000} {2.88000 1.80000},6349.418197,6349.4
{2.88000 1.44000} {3.24000 1.80000},5843.455807,5843.5
{3.24000 1.44000} {3.60000 1.80000},3543.665969,3543.7
{3.60000 1.44000} {3.96000 1.80000},5089.481316,5089.5
{3.96000 1.44000} {4.32000 1.80000},8081.152023,8081.2
{4.32000 1.44000} {4.68000 1.80000},7183.372916,7183.4
{4.68000 1.44000} {5.04000 1.80000},6669.818440,6669.8
{5.04000 1.44000} {5.40000 1.80000},5584.793742,5584.8
{5.40000 1.44000} {5.76000 1.80000},1180.127576,1180.1
{5.76000 1.44000} {6.12000 1.80000},5618.887203,5618.9
{6.12000 1.44000} {6.48000 1.80000},7018.082442,7018.1
{6.48000 1.44000} {6.84000 1.80000},5052.100821,5052.1
{6.84000 1.44000} {7.20000 1.80000},5352.876261,5352.9
{7.20000 1.44000} {7.56000 1.80000},6905.942637,6905.9
{7.56000 1.44000} {7.92000 1.80000},6693.435990,6693.4
{7.92000 1.44000} {8.28000 1.80000},5080.287220,5080.3
{8.28000 1.44000} {8.64000 1.80000},7454.916142,7454.9
{8.64000 1.44000} {9.00000 1.80000},5756.382201,5756.4
{9.00000 1.44000} {9.36000 1.80000},6962.466869,6962.5
{9.36000 1.44000} {9.72000 1.80000},8945.986934,8946
{9.72000 1.44000} {10.08000 1.80000},9248.918867,9248.9
{10.08000 1.44000} {10.44000 1.80000},3469.124164,3469.1
{0.00000 1.80000} {0.36000 2.16000},2773.807844,2773.8
{0.36000 1.80000} {0.72000 2.16000},7238.456701,7238.5
{0.72000 1.80000} {1.08000 2.16000},6800.849013,6800.8
{1.08000 1.80000} {1.44000 2.16000},5472.051984,5472.1
{1.44000 1.80000} {1.80000 2.16000},6423.746664,6423.7
{1.80000 1.80000} {2.16000 2.16000},7434.807415,7434.8
{2.16000 1.80000} {2.52000 2.16000},2884.902825,2884.9
{2.52000 1.80000} {2.88000 2.16000},2748.800124,2748.8
{2.88000 1.80000} {3.24000 2.16000},5253.528329,5253.5
{3.24000 1.80000} {3.60000 2.16000},6029.487721,6029.5
{3.60000 1.80000} {3.96000 2.16000},5638.724054,5638.7
{3.96000 1.80000} {4.32000 2.16000},4094.539756,4094.5
{4.32000 1.80000} {4.68000 2.16000},4331.081447,4331.1
{4.68000 1.80000} {5.04000 2.16000},4514.777909,4514.8
{5.04000 1.80000} {5.40000 2.16000},3547.774216,3547.8
{5.40000 1.80000} {5.76000 2.16000},1737.703623,1737.7
{5.76000 1.80000} {6.12000 2.16000},9025.018035,9025
{6.12000 1.80000} {6.48000 2.16000},6742.255771,6742.3
{6.48000 1.80000} {6.84000 2.16000},4954.661398,4954.7
{6.84000 1.80000} {7.20000 2.16000},3934.679330,3934.7
{7.20000 1.80000} {7.56000 2.16000},3011.131932,3011.1
{7.56000 1.80000} {7.92000 2.16000},5826.396146,5826.4
{7.92000 1.80000} {8.28000 2.16000},6493.687412,6493.7
{8.28000 1.80000} {8.64000 2.16000},3188.557750,3188.6
{8.64000 1.80000} {9.00000 2.16000},3312.622423,3312.6
{9.00000 1.80000} {9.36000 2.16000},6400.159834,6400.2
{9.36000 1.80000} {9.72000 2.16000},5197.998649,5198
{9.72000 1.80000} {10.08000 2.16000},5769.100863,5769.1
{10.08000 1.80000} {10.44000 2.16000},1567.520144,1567.5
{0.00000 2.16000} {0.36000 2.52000},2330.902955,2330.9
{0.36000 2.16000} {0.72000 2.52000},4678.158036,4678.2
{0.72000 2.16000} {1.08000 2.52000},1355.856697,1355.9
{1.08000 2.16000} {1.44000 2.52000},2764.114482,2764.1
{1.44000 2.16000} {1.80000 2.52000},1760.212476,1760.2
{1.80000 2.16000} {2.16000 2.52000},4873.776295,4873.8
{2.16000 2.16000} {2.52000 2.52000},3402.746040,3402.7
{2.52000 2.16000} {2.88000 2.52000},3766.227548,3766.2
{2.88000 2.16000} {3.24000 2.52000},3301.217134,3301.2
{3.24000 2.16000} {3.60000 2.52000},4348.740870,4348.7
{3.60000 2.16000} {3.96000 2.52000},5492.203010,5492.2
{3.96000 2.16000} {4.32000 2.52000},5160.610670,5160.6
{4.32000 2.16000} {4.68000 2.52000},6010.354620,6010.4
{4.68000 2.16000} {5.04000 2.52000},2368.034157,2368
{5.04000 2.16000} {5.40000 2.52000},4732.633652,4732.6
{5.40000 2.16000} {5.76000 2.52000},5657.575965,5657.6
{5.76000 2.16000} {6.12000 2.52000},6693.679569,6693.7
{6.12000 2.16000} {6.48000 2.52000},4832.176414,4832.2
{6.48000 2.16000} {6.84000 2.52000},5156.956709,5157
{6.84000 2.16000} {7.20000 2.52000},5230.803821,5230.8
{7.20000 2.16000} {7.56000 2.52000},6209.807628,6209.8
{7.56000 2.16000} {7.92000 2.52000},5233.544835,5233.5
{7.92000 2.16000} {8.28000 2.52000},6119.463795,6119.5
{8.28000 2.16000} {8.64000 2.52000},7980.628426,7980.6
{8.64000 2.16000} {9.00000 2.52000},11724.118863,11724
{9.00000 2.16000} {9.36000 2.52000},7646.978167,7647
{9.36000 2.16000} {9.72000 2.52000},8920.295036,8920.3
{9.72000 2.16000} {10.08000 2.52000},9152.929023,9152.9
{10.08000 2.16000} {10.44000 2.52000},4920.932758,4920.9
{0.00000 2.52000} {0.36000 2.88000},912.912101,912.91
{0.36000 2.52000} {0.72000 2.88000},4971.998590,4972
{0.72000 2.52000} {1.08000 2.88000},3751.805023,3751.8
{1.08000 2.52000} {1.44000 2.88000},3246.675615,3246.7
{1.44000 2.52000} {1.80000 2.88000},5945.335807,5945.3
{1.80000 2.52000} {2.16000 2.88000},8021.966844,8022
{2.16000 2.52000} {2.52000 2.88000},5220.025608,5220
{2.52000 2.52000} {2.88000 2.88000},3039.213132,3039.2
{2.88000 2.52000} {3.24000 2.88000},3890.917793,3890.9
{3.24000 2.52000} {3.60000 2.88000},5012.722281,5012.7
{3.60000 2.52000} {3.96000 2.88000},4739.977884,4740
{3.96000 2.52000} {4.32000 2.88000},4917.110400,4917.1
{4.32000 2.52000} {4.68000 2.88000},2199.551609,2199.6
{4.68000 2.52000} {5.04000 2.88000},4038.418074,4038.4
{5.04000 2.52000} {5.40000 2.88000},6913.296225,6913.3
{5.40000 2.52000} {5.76000 2.88000},3288.402503,3288.4
{5.76000 2.52000} {6.12000 2.88000},4210.005360,4210
{6.12000 2.52000} {6.48000 2.88000},4492.135316,4492.1
{6.48000 2.52000} {6.84000 2.88000},4388.412610,4388.4
{6.84000 2.52000} {7.20000 2.88000},2121.114965,2121.1
{7.20000 2.52000} {7.56000 2.88000},3669.229790,3669.2
{7.56000 2.52000} {7.92000 2.88000},4473.596137,4473.6
{7.92000 2.52000} {8.28000 2.88000},7657.849163,7657.8
{8.28000 2.52000} {8.64000 2.88000},6160.702968,6160.7
{8.64000 2.52000} {9.00000 2.88000},4751.435627,4751.4
{9.00000 2.52000} {9.36000 2.88000},5973.665157,5973.7
{9.36000 2.52000} {9.72000 2.88000},7796.072142,7796.1
{9.72000 2.52000} {10.08000 2.88000},8551.195675,8551.2
{10.08000 2.52000} {10.44000 2.88000},3985.428392,3985.4
{0.00000 2.88000} {0.36000 3.24000},2005.241774,2005.2
{0.36000 2.88000} {0.72000 3.24000},8206.051769,8206.1
{0.72000 2.88000} {1.08000 3.24000},7298.079879,7298.1
{1.08000 2.88000} {1.44000 3.24000},8563.782279,8563.8
{1.44000 2.88000} {1.80000 3.24000},6071.141881,6071.1
{1.80000 2.88000} {2.16000 3.24000},5816.468582,5816.5
{2.16000 2.88000} {2.52000 3.24000},6832.633907,6832.6
{2.52000 2.88000} {2.88000 3.24000},6083.532602,6083.5
{2.88000 2.88000} {3.24000 3.24000},5043.242090,5043.2
{3.24000 2.88000} {3.60000 3.24000},6288.057816,6288.1
{3.60000 2.88000} {3.96000 3.24000},5148.300251,5148.3
{3.96000 2.88000} {4.32000 3.24000},5654.578996,5654.6
{4.32000 2.88000} {4.68000 3.24000},5304.563165,5304.6
{4.68000 2.88000} {5.04000 3.24000},4449.590318,4449.6
{5.04000 2.88000} {5.40000 3.24000},6381.987745,6382
{5.40000 2.88000} {5.76000 3.24000},3332.940544,3332.9
{5.76000 2.88000} {6.12000 3.24000},3841.592374,3841.6
{6.12000 2.88000} {6.48000 3.24000},5207.406467,5207.4
{6.48000 2.88000} {6.84000 3.24000},4627.319418,4627.3
{6.84000 2.88000} {7.20000 3.24000},4940.298344,4940.3
{7.20000 2.88000} {7.56000 3.24000},4301.300404,4301.3
{7.56000 2.88000} {7.92000 3.24000},6370.905001,6370.9
{7.92000 2.88000} {8.28000 3.24000},6058.236104,6058.2
{8.28000 2.88000} {8.64000 3.24000},6995.863359,6995.9
{8.64000 2.88000} {9.00000 3.24000},5133.411994,5133.4
{9.00000 2.88000} {9.36000 3.24000},6111.829689,6111.8
{9.36000 2.88000} {9.72000 3.24000},6825.406665,6825.4
{9.72000 2.88000} {10.08000 3.24000},7096.867138,7096.9
{10.08000 2.88000} {10.44000 3.24000},2871.055036,2871.1
{0.00000 3.24000} {0.36000 3.60000},1847.996230,1848
{0.36000 3.24000} {0.72000 3.60000},7362.701511,7362.7
{0.72000 3.24000} {1.08000 3.60000},6083.908071,6083.9
{1.08000 3.24000} {1.44000 3.60000},7608.764787,7608.8
{1.44000 3.24000} {1.80000 3.60000},6780.884890,6780.9
{1.80000 3.24000} {2.16000 3.60000},8508.675536,8508.7
{2.16000 3.24000} {2.52000 3.60000},10172.877013,10173
{2.52000 3.24000} {2.88000 3.60000},4817.212222,4817.2
{2.88000 3.24000} {3.24000 3.60000},5142.256321,5142.3
{3.24000 3.24000} {3.60000 3.60000},3840.946043,3840.9
{3.60000 3.24000} {3.96000 3.60000},5075.386754,5075.4
{3.96000 3.24000} {4.32000 3.60000},5056.949101,5056.9
{4.32000 3.24000} {4.68000 3.60000},4430.420298,4430.4
{4.68000 3.24000} {5.04000 3.60000},4521.354111,4521.4
{5.04000 3.24000} {5.40000 3.60000},2900.078152,2900.1
{5.40000 3.24000} {5.76000 3.60000},2024.868036,2024.9
{5.76000 3.24000} {6.12000 3.60000},5348.670345,5348.7
{6.12000 3.24000} {6.48000 3.60000},5866.911349,5866.9
{6.48000 3.24000} {6.84000 3.60000},6449.020786,6449
{6.84000 3.24000} {7.20000 3.60000},4195.295294,4195.3
{7.20000 3.24000} {7.56000 3.60000},6457.573272,6457.6
{7.56000 3.24000} {7.92000 3.60000},8275.345416,8275.3
{7.92000 3.24000} {8.28000 3.60000},4955.062840,4955.1
{8.28000 3.24000} {8.64000 3.60000},3680.510538,3680.5
{8.64000 3.24000} {9.00000 3.60000},7531.419298,7531.4
{9.00000 3.24000} {9.36000 3.60000},6009.367410,6009.4
{9.36000 3.24000} {9.72000 3.60000},5375.297351,5375.3
{9.72000 3.24000} {10.08000 3.60000},5910.092403,5910.1
{10.08000 3.24000} {10.44000 3.60000},3032.545168,3032.5
{0.00000 3.60000} {0.36000 3.96000},3806.546035,3806.5
{0.36000 3.60000} {0.72000 3.96000},9854.238722,9854.2
{0.72000 3.60000} {1.08000 3.96000},9047.810737,9047.8
{1.08000 3.60000} {1.44000 3.96000},7188.105968,7188.1
{1.44000 3.60000} {1.80000 3.96000},5615.852351,5615.9
{1.80000 3.60000} {2.16000 3.96000},5645.194865,5645.2
{2.16000 3.60000} {2.52000 3.96000},3934.010590,3934
{2.52000 3.60000} {2.88000 3.96000},4959.811208,4959.8
{2.88000 3.60000} {3.24000 3.96000},5662.192264,5662.2
{3.24000 3.60000} {3.60000 3.96000},2680.564941,2680.6
{3.60000 3.60000} {3.96000 3.96000},2297.268866,2297.3
{3.96000 3.60000} {4.32000 3.96000},5283.945263,5283.9
{4.32000 3.60000} {4.68000 3.96000},6034.707428,6034.7
{4.68000 3.60000} {5.04000 3.96000},5655.802517,5655.8
{5.04000 3.60000} {5.40000 3.96000},6496.985467,6497
{5.40000 3.60000} {5.76000 3.96000},5352.122526,5352.1
{5.76000 3.60000} {6.12000 3.96000},4388.329351,4388.3
{6.12000 3.60000} {6.48000 3.96000},5120.319662,5120.3
{6.48000 3.60000} {6.84000 3.96000},3243.075217,3243.1
{6.84000 3.60000} {7.20000 3.96000},5220.959319,5221
{7.20000 3.60000} {7.56000 3.96000},6858.286866,6858.3
{7.56000 3.60000} {7.92000 3.96000},3324.763687,3324.8
{7.92000 3.60000} {8.28000 3.96000},2310.259440,2310.3
{8.28000 3.60000} {8.64000 3.96000},4940.078576,4940.1
{8.64000 3.60000} {9.00000 3.96000},6667.574817,6667.6
{9.00000 3.60000} {9.36000 3.96000},6789.545252,6789.5
{9.36000 3.60000} {9.72000 3.96000},4410.640237,4410.6
{9.72000 3.60000} {10.08000 3.96000},4396.750196,4396.8
{10.08000 3.60000} {10.44000 3.96000},2381.573023,2381.6
{0.00000 3.96000} {0.36000 4.32000},2718.600699,2718.6
{0.36000 3.96000} {0.72000 4.32000},5527.174637,5527.2
{0.72000 3.96000} {1.08000 4.32000},2254.567500,2254.6
{1.08000 3.96000} {1.44000 4.32000},5837.505575,5837.5
{1.44000 3.96000} {1.80000 4.32000},3144.154755,3144.2
{1.80000 3.96000} {2.16000 4.32000},6029.045414,6029
{2.16000 3.96000} {2.52000 4.32000},5132.729365,5132.7
{2.52000 3.96000} {2.88000 4.32000},6706.954564,6707
{2.88000 3.96000} {3.24000 4.32000},2414.012262,2414
{3.24000 3.96000} {3.60000 4.32000},4678.050745,4678.1
{3.60000 3.96000} {3.96000 4.32000},5493.815743,5493.8
{3.96000 3.96000} {4.32000 4.32000},5717.850338,5717.9
{4.32000 3.96000} {4.68000 4.32000},5394.453770,5394.5
{4.68000 3.96000} {5.04000 4.32000},8171.275151,8171.3
{5.04000 3.96000} {5.40000 4.32000},6557.059619,6557.1
{5.40000 3.96000} {5.76000 4.32000},4533.638797,4533.6
{5.76000 3.96000} {6.12000 4.32000},3601.232490,3601.2
{6.12000 3.96000} {6.48000 4.32000},4915.455328,4915.5
{6.48000 3.96000} {6.84000 4.32000},6372.038009,6372
{6.84000 3.96000} {7.20000 4.32000},6282.229788,6282.2
{7.20000 3.96000} {7.56000 4.32000},5366.337414,5366.3
{7.56000 3.96000} {7.92000 4.32000},6320.483927,6320.5
{7.92000 3.96000} {8.28000 4.32000},5024.588907,5024.6
{8.28000 3.96000} {8.64000 4.32000},4684.462552,4684.5
{8.64000 3.96000} {9.00000 4.32000},7162.142610,7162.1
{9.00000 3.96000} {9.36000 4.32000},5989.361077,5989.4
{9.36000 3.96000} {9.72000 4.32000},4614.008711,4614
{9.72000 3.96000} {10.08000 4.32000},5794.426349,5794.4
{10.08000 3.96000} {10.44000 4.32000},2712.320474,2712.3
{0.00000 4.32000} {0.36000 4.68000},1474.731141,1474.7
{0.36000 4.32000} {0.72000 4.68000},7239.554533,7239.6
{0.72000 4.32000} {1.08000 4.68000},6012.107263,6012.1
{1.08000 4.32000} {1.44000 4.68000},5439.000351,5439
{1.44000 4.32000} {1.80000 4.68000},5645.214798,5645.2
{1.80000 4.32000} {2.16000 4.68000},4408.635787,4408.6
{2.16000 4.32000} {2.52000 4.68000},7280.591256,7280.6
{2.52000 4.32000} {2.88000 4.68000},3832.728256,3832.7
{2.88000 4.32000} {3.24000 4.68000},6115.274139,6115.3
{3.24000 4.32000} {3.60000 4.68000},6806.825560,6806.8
{3.60000 4.32000} {3.96000 4.68000},4882.376049,4882.4
{3.96000 4.32000} {4.32000 4.68000},7627.306886,7627.3
{4.32000 4.32000} {4.68000 4.68000},5101.519305,5101.5
{4.68000 4.32000} {5.04000 4.68000},5454.917476,5454.9
{5.04000 4.32000} {5.40000 4.68000},7664.509406,7664.5
{5.40000 4.32000} {5.76000 4.68000},3351.257277,3351.3
{5.76000 4.32000} {6.12000 4.68000},4620.454288,4620.5
{6.12000 4.32000} {6.48000 4.68000},3540.276279,3540.3
{6.48000 4.32000} {6.84000 4.68000},6502.679192,6502.7
{6.84000 4.32000} {7.20000 4.68000},6569.105500,6569.1
{7.20000 4.32000} {7.56000 4.68000},5426.775788,5426.8
{7.56000 4.32000} {7.92000 4.68000},5114.681215,5114.7
{7.92000 4.32000} {8.28000 4.68000},5807.201749,5807.2
{8.28000 4.32000} {8.64000 4.68000},5287.179933,5287.2
{8.64000 4.32000} {9.00000 4.68000},6702.361964,6702.4
{9.00000 4.32000} {9.36000 4.68000},4393.737859,4393.7
{9.36000 4.32000} {9.72000 4.68000},7134.906751,7134.9
{9.72000 4.32000} {10.08000 4.68000},6297.644304,6297.6
{10.08000 4.32000} {10.44000 4.68000},2730.803906,2730.8
{0.00000 4.68000} {0.36000 5.04000},2970.217286,2970.2
{0.36000 4.68000} {0.72000 5.04000},6532.436502,6532.4
{0.72000 4.68000} {1.08000 5.04000},6012.463772,6012.5
{1.08000 4.68000} {1.44000 5.04000},6142.990566,6143
{1.44000 4.68000} {1.80000 5.04000},3106.083871,3106.1
{1.80000 4.68000} {2.16000 5.04000},5196.170478,5196.2
{2.16000 4.68000} {2.52000 5.04000},5005.306575,5005.3
{2.52000 4.68000} {2.88000 5.04000},7265.554910,7265.6
{2.88000 4.68000} {3.24000 5.04000},6281.973516,6282
{3.24000 4.68000} {3.60000 5.04000},4002.281911,4002.3
{3.60000 4.68000} {3.96000 5.04000},8054.144579,8054.1
{3.96000 4.68000} {4.32000 5.04000},8378.377271,8378.4
{4.32000 4.68000} {4.68000 5.04000},5740.911865,5740.9
{4.68000 4.68000} {5.04000 5.04000},5731.810490,5731.8
{5.04000 4.68000} {5.40000 5.04000},6679.898824,6679.9
{5.40000 4.68000} {5.76000 5.04000},6451.007928,6451
{5.76000 4.68000} {6.12000 5.04000},7627.391458,7627.4
{6.12000 4.68000} {6.48000 5.04000},9012.849745,9012.8
{6.48000 4.68000} {6.84000 5.04000},3286.295593,3286.3
{6.84000 4.68000} {7.20000 5.04000},4866.546728,4866.5
{7.20000 4.68000} {7.56000 5.04000},6815.439743,6815.4
{7.56000 4.68000} {7.92000 5.04000},5323.334924,5323.3
{7.92000 4.68000} {8.28000 5.04000},3948.705031,3948.7
{8.28000 4.68000} {8.64000 5.04000},4916.761957,4916.8
{8.64000 4.68000} {9.00000 5.04000},1369.362161,1369.4
{9.00000 4.68000} {9.36000 5.04000},6100.221504,6100.2
{9.36000 4.68000} {9.72000 5.04000},10441.092378,10441
{9.72000 4.68000} {10.08000 5.04000},10861.376150,10861
{10.08000 4.68000} {10.44000 5.04000},4289.722730,4289.7
{0.00000 5.04000} {0.36000 5.40000},1046.084465,1046.1
{0.36000 5.04000} {0.72000 5.40000},4312.558580,4312.6
{0.72000 5.04000} {1.08000 5.40000},5088.324499,5088.3
{1.08000 5.04000} {1.44000 5.40000},5942.046592,5942
{1.44000 5.04000} {1.80000 5.40000},6099.640997,6099.6
{1.80000 5.04000} {2.16000 5.40000},3672.309060,3672.3
{2.16000 5.04000} {2.52000 5.40000},3780.351468,3780.4
{2.52000 5.04000} {2.88000 5.40000},4040.229219,4040.2
{2.88000 5.04000} {3.24000 5.40000},3752.737504,3752.7
